timestamp,series_ticker,window_open,window_close,btc_price_at_open,kalshi_ticker,direction,side,num_contracts,contract_price_cents,bet_size_dollars,signal_vol_direction,signal_vol_strength,signal_momentum_direction,signal_momentum_strength,signal_crowd_direction,signal_crowd_strength,signal_funding_direction,signal_funding_strength,combined_direction,combined_strength,signal_reasons,paper_trade,outcome,btc_price_at_close,pnl_dollars
2026-04-17T01:55:05.455272+00:00,KXBTC,2026-04-17T01:00:00+00:00,2026-04-17T02:00:00+00:00,74611.80,KXBTC-26APR1622-T83299.99,NO,no,4,50.0,2.00,PASS,0.379,NO,1.000,NEUTRAL,0.000,NEUTRAL,0.000,NO,0.650,"volatility OK (35.5% ann vol, above 15th pct) | momentum NO (3/3 agree): 5m=NO, 15m=NO, 60m=NO | crowd neutral (50% implied) — no fade signal | perp funding neutral (-0.000055)",True,LOSS,74740.95,-2.00
2026-04-17T02:11:01.350545+00:00,KXBTC15M,2026-04-17T02:00:00+00:00,2026-04-17T02:15:00+00:00,74677.51,KXBTC15M-26APR162215-15,NO,no,3,50.0,1.50,PASS,0.570,NO,0.667,NEUTRAL,0.000,NEUTRAL,0.000,NO,0.433,"volatility OK (42.6% ann vol, above 15th pct) | momentum NO (2/3 agree): 5m=NO, 15m=YES, 60m=NO | crowd neutral (50% implied) — no fade signal | perp funding neutral (-0.000058)",True,LOSS,74737.41,-1.50
2026-04-17T02:25:57.939021+00:00,KXBTC15M,2026-04-17T02:15:00+00:00,2026-04-17T02:30:00+00:00,74678.70,KXBTC15M-26APR162230-30,NO,no,4,50.0,2.00,PASS,0.148,NO,1.000,NEUTRAL,0.000,NEUTRAL,0.000,NO,0.650,"volatility OK (26.9% ann vol, above 15th pct) | momentum NO (3/3 agree): 5m=NO, 15m=NO, 60m=NO | crowd neutral (50% implied) — no fade signal | perp funding neutral (-0.000059)",True,WIN,74598.70,2.00
2026-04-17T03:25:30.887584+00:00,KXBTC15M,2026-04-17T03:15:00+00:00,2026-04-17T03:30:00+00:00,74720.19,KXBTC15M-26APR162330-30,NO,no,3,50.0,1.50,PASS,0.197,NO,0.667,NEUTRAL,0.000,NEUTRAL,0.000,NO,0.433,"volatility OK (26.4% ann vol, above 15th pct) | momentum NO (2/3 agree): 5m=NO, 15m=YES, 60m=NO | crowd neutral (50% implied) — no fade signal | perp funding neutral (-0.000048)",True,LOSS,74764.51,-1.50
2026-04-17T03:55:31.933272+00:00,KXBTC15M,2026-04-17T03:45:00+00:00,2026-04-17T04:00:00+00:00,74672.11,KXBTC15M-26APR170000-00,NO,no,4,50.0,2.00,PASS,0.320,NO,1.000,NEUTRAL,0.000,NEUTRAL,0.000,NO,0.650,"volatility OK (29.8% ann vol, above 15th pct) | momentum NO (3/3 agree): 5m=NO, 15m=NO, 60m=NO | crowd neutral (50% implied) — no fade signal | perp funding neutral (-0.000043)",True,WIN,74651.27,2.00
2026-04-17T03:55:31.957820+00:00,KXBTC,2026-04-17T03:00:00+00:00,2026-04-17T04:00:00+00:00,74672.11,KXBTC-26APR1700-T83299.99,NO,no,4,50.0,2.00,PASS,0.320,NO,1.000,NEUTRAL,0.000,NEUTRAL,0.000,NO,0.650,"volatility OK (29.8% ann vol, above 15th pct) | momentum NO (3/3 agree): 5m=NO, 15m=NO, 60m=NO | crowd neutral (50% implied) — no fade signal | perp funding neutral (-0.000043)",True,WIN,74651.27,2.00
2026-04-17T04:25:36.016599+00:00,KXBTC15M,2026-04-17T04:15:00+00:00,2026-04-17T04:30:00+00:00,74779.04,KXBTC15M-26APR170030-30,YES,yes,3,50.0,1.50,PASS,0.010,YES,0.667,NEUTRAL,0.000,NEUTRAL,0.000,YES,0.433,"volatility OK (20.2% ann vol, above 15th pct) | momentum YES (2/3 agree): 5m=YES, 15m=YES, 60m=NO | crowd neutral (50% implied) — no fade signal | perp funding neutral (-0.000043)",True,LOSS,74769.83,-1.50
2026-04-17T05:10:32.400305+00:00,KXBTC15M,2026-04-17T05:00:00+00:00,2026-04-17T05:15:00+00:00,74615.01,KXBTC15M-26APR170115-15,NO,no,4,50.0,2.00,PASS,0.271,NO,1.000,NEUTRAL,0.000,NEUTRAL,0.000,NO,0.650,"volatility OK (27.9% ann vol, above 15th pct) | momentum NO (3/3 agree): 5m=NO, 15m=NO, 60m=NO | crowd neutral (50% implied) — no fade signal | perp funding neutral (-0.000042)",True,LOSS,74636.08,-2.00
2026-04-17T05:25:29.675058+00:00,KXBTC15M,2026-04-17T05:15:00+00:00,2026-04-17T05:30:00+00:00,74748.34,KXBTC15M-26APR170130-30,NO,no,3,50.0,1.50,PASS,0.342,NO,0.667,NEUTRAL,0.000,NEUTRAL,0.000,NO,0.433,"volatility OK (30.0% ann vol, above 15th pct) | momentum NO (2/3 agree): 5m=YES, 15m=NO, 60m=NO | crowd neutral (50% implied) — no fade signal | perp funding neutral (-0.000041)",True,WIN,74681.92,1.50
2026-04-17T06:10:37.605644+00:00,KXBTC15M,2026-04-17T06:00:00+00:00,2026-04-17T06:15:00+00:00,74729.76,KXBTC15M-26APR170215-15,YES,yes,3,50.0,1.50,PASS,0.285,YES,0.667,NEUTRAL,0.000,NEUTRAL,0.000,YES,0.433,"volatility OK (26.5% ann vol, above 15th pct) | momentum YES (2/3 agree): 5m=YES, 15m=YES, 60m=NO | crowd neutral (50% implied) — no fade signal | perp funding neutral (-0.000048)",True,WIN,74818.39,1.50
2026-04-17T06:25:25.463216+00:00,KXBTC15M,2026-04-17T06:15:00+00:00,2026-04-17T06:30:00+00:00,74812.34,KXBTC15M-26APR170230-30,YES,yes,3,50.0,1.50,PASS,0.582,YES,0.667,NEUTRAL,0.000,NEUTRAL,0.000,YES,0.433,"volatility OK (36.1% ann vol, above 15th pct) | momentum YES (2/3 agree): 5m=YES, 15m=YES, 60m=NO | crowd neutral (50% implied) — no fade signal | perp funding neutral (-0.000044)",True,LOSS,74786.80,-1.50
2026-04-17T06:40:26.892472+00:00,KXBTC15M,2026-04-17T06:30:00+00:00,2026-04-17T06:45:00+00:00,74839.58,KXBTC15M-26APR170245-45,YES,yes,3,50.0,1.50,PASS,0.252,YES,0.667,NEUTRAL,0.000,NEUTRAL,0.000,YES,0.433,"volatility OK (25.4% ann vol, above 15th pct) | momentum YES (2/3 agree): 5m=YES, 15m=YES, 60m=NO | crowd neutral (50% implied) — no fade signal | perp funding neutral (-0.000045)",True,WIN,74850.01,1.50
2026-04-17T06:55:32.304674+00:00,KXBTC15M,2026-04-17T06:45:00+00:00,2026-04-17T07:00:00+00:00,74908.03,KXBTC15M-26APR170300-00,YES,yes,3,50.0,1.50,PASS,0.081,YES,0.667,NEUTRAL,0.000,NEUTRAL,0.000,YES,0.433,"volatility OK (19.8% ann vol, above 15th pct) | momentum YES (2/3 agree): 5m=YES, 15m=YES, 60m=NO | crowd neutral (50% implied) — no fade signal | perp funding neutral (-0.000041)",True,WIN,74964.03,1.50
2026-04-17T06:55:32.327196+00:00,KXBTC,2026-04-17T06:00:00+00:00,2026-04-17T07:00:00+00:00,74908.03,KXBTC-26APR1703-T83799.99,YES,yes,3,50.0,1.50,PASS,0.081,YES,0.667,NEUTRAL,0.000,NEUTRAL,0.000,YES,0.433,"volatility OK (19.8% ann vol, above 15th pct) | momentum YES (2/3 agree): 5m=YES, 15m=YES, 60m=NO | crowd neutral (50% implied) — no fade signal | perp funding neutral (-0.000041)",True,WIN,74964.03,1.50
2026-04-17T07:10:46.181066+00:00,KXBTC15M,2026-04-17T07:00:00+00:00,2026-04-17T07:15:00+00:00,75028.33,KXBTC15M-26APR170315-15,YES,yes,4,50.0,2.00,PASS,0.017,YES,1.000,NEUTRAL,0.000,NEUTRAL,0.000,YES,0.650,"volatility OK (17.7% ann vol, above 15th pct) | momentum YES (3/3 agree): 5m=YES, 15m=YES, 60m=YES | crowd neutral (50% implied) — no fade signal | perp funding neutral (-0.000038)",True,WIN,75057.79,2.00
2026-04-17T07:25:57.663129+00:00,KXBTC15M,2026-04-17T07:15:00+00:00,2026-04-17T07:30:00+00:00,75021.41,KXBTC15M-26APR170330-30,YES,yes,3,50.0,1.50,PASS,0.271,YES,0.667,NEUTRAL,0.000,NEUTRAL,0.000,YES,0.433,"volatility OK (26.0% ann vol, above 15th pct) | momentum YES (2/3 agree): 5m=NO, 15m=YES, 60m=YES | crowd neutral (50% implied) — no fade signal | perp funding neutral (-0.000041)",True,WIN,75034.01,1.50
